"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","11","26","26","6","236.000351","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","11","22","22","2","129.932739","0","0"
"Globals","11","702","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","11","2","2","1","19.340500","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","11","2","2","1","17.154118","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","11","40","40","1","388.141052","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","11","2","2","1","18.978577","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","11","2","2","1","17.506966","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","11","2","2","1","17.848598","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","11","54","54","1","522.336792","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","11","84","84","1","690.247620","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","11","4","4","1","23.128241","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","11","177","177","1","1355.332886","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","11","100","100","1","628.069458","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","11","205","205","1","512.307190","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","11","2","2","1","11.100250","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","11","20","20","1","118.285316","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","11","2","2","1","12.076665","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","11","2","2","1","12.067593","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","11","2","2","1","12.131599","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","11","2","2","1","11.446274","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","11","40","40","1","253.665405","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","11","41","41","1","267.603302","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","11","20","20","1","127.012764","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","11","10","10","1","74.511482","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","11","4","4","1","29.956400","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","11","97","97","1","855.223694","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","11","591","591","1","3504.570312","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","11","27","27","1","155.507233","0","0"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","11","108","108","2","644.627808","0","0"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","11","35","35","1","230.936920","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","11","35","35","1","237.166595","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","11","2","2","1","13.199837","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","11","2","2","1","11.548881","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","11","2","2","1","9.049965","0","0"
