"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","11","743","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","11","2","2","1","4.114449","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","11","2","2","1","3.985533","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","11","30","1","1","63.955318","0","278"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","11","2","2","1","4.093107","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","11","2","2","1","3.950918","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","11","2","2","1","3.889051","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","11","44","2","1","101.715477","0","438"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","11","104","3","1","235.582886","0","1413"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","11","4","4","1","7.974698","0","4"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","11","27","33","2","56.941971","0","27"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","11","195","8","1","354.198669","0","5111"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","11","75","5","1","105.808647","0","737"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","11","240","3","1","495.539551","0","9284"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","11","2","2","1","3.549528","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","11","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","11","15","15","1","10.276055","0","16"
"/Engine/VREditor/TransformGizmo/Main.Main","11","2","2","1","3.402097","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","11","2","2","1","3.713756","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","11","2","2","1","3.637243","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","11","2","2","1","3.656930","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","11","30","30","1","60.062988","0","30"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","11","51","51","1","102.459801","0","51"
